{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6349  0.4129  0.3091
  -4.583 -4.013  5  10  245    0.7101  0.3321  0.2765
  -4.013 -3.839  5  10  292    0.7230  0.3308  0.5000
  -3.839 -3.489  5  10  414    0.8609  0.1177  0.0934
  -3.489 -3.314  5  10  493    0.8991  0.0952  0.2472
  -3.314 -3.139  5  10  588    0.9165  0.0610  0.2137
  -3.139 -2.964  5  10  700    0.8720  0.1046  0.4985
  -2.964 -2.853  5  10  781    0.8325  0.1473  0.4370
  -2.853 -2.650  5  10  956    0.8585  0.0921  0.2035
  -2.650 -2.500  5  10 1108    0.9350  0.0017 -0.3364
  -2.500 -2.322  5  10 1321    0.9647 -0.0115 -0.3234
  -2.322 -2.172  5  10 1529    0.9613 -0.0108 -0.1978
  -2.172 -1.930  5  10 1933    0.9726 -0.0115 -0.2000
  -1.930 -1.653  5  10 2511    0.9701 -0.0033 -0.1625
  -1.653 -1.479  5  10 2946    0.9621 -0.0037 -0.0940
  -1.479 -1.305  5  10 3435    0.9857  0.0095 -0.0337
  -1.305 -1.044  5  10 4259    1.0087 -0.0109 -0.0619
  -1.044 -0.783  5  10 5141    0.9979 -0.0035 -0.0075
  -0.783 -0.522  5  10 5968    1.0022 -0.0049 -0.0093
  -0.522 -0.261  5  10 6574    1.0020 -0.0005 -0.0087
  -0.261 -0.000  5  10 6800    0.9976  0.0075  0.0273
  +0.000 +0.261  5  10 6800    0.9976  0.0075  0.0273
  +0.261 +0.522  5  10 6574    1.0020 -0.0005 -0.0087
  +0.522 +0.783  5  10 5968    1.0022 -0.0049 -0.0093
  +0.783 +1.044  5  10 5141    0.9979 -0.0035 -0.0075
  +1.044 +1.305  5  10 4259    1.0087 -0.0109 -0.0619
  +1.305 +1.479  5  10 3435    0.9857  0.0095 -0.0337
  +1.479 +1.653  5  10 2946    0.9621 -0.0037 -0.0940
  +1.653 +1.930  5  10 2511    0.9701 -0.0033 -0.1625
  +1.930 +2.172  5  10 1933    0.9726 -0.0115 -0.2000
  +2.172 +2.322  5  10 1529    0.9613 -0.0108 -0.1978
  +2.322 +2.500  5  10 1321    0.9647 -0.0115 -0.3234
  +2.500 +2.650  5  10 1108    0.9350  0.0017 -0.3364
  +2.650 +2.853  5  10  956    0.8585  0.0921  0.2035
  +2.853 +2.964  5  10  781    0.8325  0.1473  0.4370
  +2.964 +3.139  5  10  700    0.8720  0.1046  0.4985
  +3.139 +3.314  5  10  588    0.9165  0.0610  0.2137
  +3.314 +3.489  5  10  493    0.8991  0.0952  0.2472
  +3.489 +3.839  5  10  414    0.8609  0.1177  0.0934
  +3.839 +4.013  5  10  292    0.7230  0.3308  0.5000
  +4.013 +4.583  5  10  245    0.7101  0.3321  0.2765
  +4.583 +5.191  5  10  139    0.6349  0.4129  0.3091
