{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6885  0.5363  0.5000
  -4.583 -4.013  5  10  245    0.7573  0.2690  0.1974
  -4.013 -3.839  5  10  292    0.7675  0.3356  0.5000
  -3.839 -3.489  5  10  414    0.9056  0.1119  0.1050
  -3.489 -3.314  5  10  493    0.9676  0.0160  0.0739
  -3.314 -3.139  5  10  588    0.9662  0.0344  0.1382
  -3.139 -2.964  5  10  700    0.9276  0.0737  0.3821
  -2.964 -2.853  5  10  781    0.8568  0.1493  0.4702
  -2.853 -2.650  5  10  956    0.8962  0.0915  0.1784
  -2.650 -2.500  5  10 1108    0.9572  0.0195 -0.2262
  -2.500 -2.322  5  10 1321    0.9858  0.0189 -0.1995
  -2.322 -2.172  5  10 1529    1.0037 -0.0139 -0.2165
  -2.172 -1.930  5  10 1933    1.0080 -0.0181 -0.2167
  -1.930 -1.653  5  10 2511    1.0077  0.0017 -0.1628
  -1.653 -1.479  5  10 2946    0.9979  0.0118 -0.0936
  -1.479 -1.305  5  10 3435    1.0083  0.0123 -0.0418
  -1.305 -1.044  5  10 4259    1.0069 -0.0148 -0.0792
  -1.044 -0.783  5  10 5141    0.9982 -0.0010  0.0039
  -0.783 -0.522  5  10 5968    1.0013  0.0010  0.0026
  -0.522 -0.261  5  10 6574    1.0025  0.0016 -0.0001
  -0.261 -0.000  5  10 6800    0.9980  0.0010  0.0083
  +0.000 +0.261  5  10 6800    0.9980  0.0010  0.0083
  +0.261 +0.522  5  10 6574    1.0025  0.0016 -0.0001
  +0.522 +0.783  5  10 5968    1.0013  0.0010  0.0026
  +0.783 +1.044  5  10 5141    0.9982 -0.0010  0.0039
  +1.044 +1.305  5  10 4259    1.0069 -0.0148 -0.0792
  +1.305 +1.479  5  10 3435    1.0083  0.0123 -0.0418
  +1.479 +1.653  5  10 2946    0.9979  0.0118 -0.0936
  +1.653 +1.930  5  10 2511    1.0077  0.0017 -0.1628
  +1.930 +2.172  5  10 1933    1.0080 -0.0181 -0.2167
  +2.172 +2.322  5  10 1529    1.0037 -0.0139 -0.2165
  +2.322 +2.500  5  10 1321    0.9858  0.0189 -0.1995
  +2.500 +2.650  5  10 1108    0.9572  0.0195 -0.2262
  +2.650 +2.853  5  10  956    0.8962  0.0915  0.1784
  +2.853 +2.964  5  10  781    0.8568  0.1493  0.4702
  +2.964 +3.139  5  10  700    0.9276  0.0737  0.3821
  +3.139 +3.314  5  10  588    0.9662  0.0344  0.1382
  +3.314 +3.489  5  10  493    0.9676  0.0160  0.0739
  +3.489 +3.839  5  10  414    0.9056  0.1119  0.1050
  +3.839 +4.013  5  10  292    0.7675  0.3356  0.5000
  +4.013 +4.583  5  10  245    0.7573  0.2690  0.1974
  +4.583 +5.191  5  10  139    0.6885  0.5363  0.5000
