{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6449  0.5148  0.5000
  -4.583 -4.013  5  10  245    0.7272  0.3466  0.3487
  -4.013 -3.839  5  10  292    0.8128  0.2351  0.1611
  -3.839 -3.489  5  10  414    0.8777  0.1736  0.2789
  -3.489 -3.314  5  10  493    0.9728  0.0507  0.0691
  -3.314 -3.139  5  10  588    1.0414 -0.0708 -0.5000
  -3.139 -2.964  5  10  700    0.9330  0.1042  0.3716
  -2.964 -2.853  5  10  781    0.8871  0.1433  0.3190
  -2.853 -2.650  5  10  956    0.8996  0.1071  0.2204
  -2.650 -2.500  5  10 1108    0.9657  0.0268 -0.2233
  -2.500 -2.322  5  10 1321    1.0087  0.0003 -0.3339
  -2.322 -2.172  5  10 1529    1.0465 -0.0715 -0.5000
  -2.172 -1.930  5  10 1933    1.0038  0.0112 -0.1391
  -1.930 -1.653  5  10 2511    1.0171  0.0073 -0.1790
  -1.653 -1.479  5  10 2946    1.0115  0.0085 -0.1406
  -1.479 -1.305  5  10 3435    1.0104  0.0325 -0.0151
  -1.305 -1.044  5  10 4259    1.0044  0.0038 -0.0388
  -1.044 -0.783  5  10 5141    0.9938 -0.0030  0.0104
  -0.783 -0.522  5  10 5968    1.0004 -0.0003  0.0025
  -0.522 -0.261  5  10 6574    1.0039  0.0003 -0.0038
  -0.261 -0.000  5  10 6800    1.0010 -0.0030  0.0044
  +0.000 +0.261  5  10 6800    1.0010 -0.0030  0.0044
  +0.261 +0.522  5  10 6574    1.0039  0.0003 -0.0038
  +0.522 +0.783  5  10 5968    1.0004 -0.0003  0.0025
  +0.783 +1.044  5  10 5141    0.9938 -0.0030  0.0104
  +1.044 +1.305  5  10 4259    1.0044  0.0038 -0.0388
  +1.305 +1.479  5  10 3435    1.0104  0.0325 -0.0151
  +1.479 +1.653  5  10 2946    1.0115  0.0085 -0.1406
  +1.653 +1.930  5  10 2511    1.0171  0.0073 -0.1790
  +1.930 +2.172  5  10 1933    1.0038  0.0112 -0.1391
  +2.172 +2.322  5  10 1529    1.0465 -0.0715 -0.5000
  +2.322 +2.500  5  10 1321    1.0087  0.0003 -0.3339
  +2.500 +2.650  5  10 1108    0.9657  0.0268 -0.2233
  +2.650 +2.853  5  10  956    0.8996  0.1071  0.2204
  +2.853 +2.964  5  10  781    0.8871  0.1433  0.3190
  +2.964 +3.139  5  10  700    0.9330  0.1042  0.3716
  +3.139 +3.314  5  10  588    1.0414 -0.0708 -0.5000
  +3.314 +3.489  5  10  493    0.9728  0.0507  0.0691
  +3.489 +3.839  5  10  414    0.8777  0.1736  0.2789
  +3.839 +4.013  5  10  292    0.8128  0.2351  0.1611
  +4.013 +4.583  5  10  245    0.7272  0.3466  0.3487
  +4.583 +5.191  5  10  139    0.6449  0.5148  0.5000
