{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.6839  0.5817  0.5000
  -4.583 -4.013  5  10  245    0.7458  0.2942  0.2213
  -4.013 -3.839  5  10  292    0.7939  0.2649  0.2607
  -3.839 -3.489  5  10  414    0.8829  0.1536  0.2378
  -3.489 -3.314  5  10  493    0.9745  0.0412  0.0538
  -3.314 -3.139  5  10  588    0.9706  0.0521  0.1102
  -3.139 -2.964  5  10  700    0.9287  0.1108  0.3972
  -2.964 -2.853  5  10  781    0.8730  0.1594  0.3932
  -2.853 -2.650  5  10  956    0.8925  0.1192  0.2632
  -2.650 -2.500  5  10 1108    0.9639  0.0300 -0.2203
  -2.500 -2.322  5  10 1321    1.0042  0.0076 -0.2873
  -2.322 -2.172  5  10 1529    1.0111 -0.0072 -0.2340
  -2.172 -1.930  5  10 1933    1.0124 -0.0019 -0.1932
  -1.930 -1.653  5  10 2511    1.0195  0.0037 -0.1871
  -1.653 -1.479  5  10 2946    1.0142  0.0049 -0.1585
  -1.479 -1.305  5  10 3435    1.0128  0.0297 -0.0270
  -1.305 -1.044  5  10 4259    1.0040  0.0043 -0.0356
  -1.044 -0.783  5  10 5141    0.9941 -0.0030  0.0118
  -0.783 -0.522  5  10 5968    1.0007 -0.0006  0.0012
  -0.522 -0.261  5  10 6574    1.0034  0.0007 -0.0066
  -0.261 -0.000  5  10 6800    1.0009 -0.0033  0.0066
  +0.000 +0.261  5  10 6800    1.0009 -0.0033  0.0066
  +0.261 +0.522  5  10 6574    1.0034  0.0007 -0.0066
  +0.522 +0.783  5  10 5968    1.0007 -0.0006  0.0012
  +0.783 +1.044  5  10 5141    0.9941 -0.0030  0.0118
  +1.044 +1.305  5  10 4259    1.0040  0.0043 -0.0356
  +1.305 +1.479  5  10 3435    1.0128  0.0297 -0.0270
  +1.479 +1.653  5  10 2946    1.0142  0.0049 -0.1585
  +1.653 +1.930  5  10 2511    1.0195  0.0037 -0.1871
  +1.930 +2.172  5  10 1933    1.0124 -0.0019 -0.1932
  +2.172 +2.322  5  10 1529    1.0111 -0.0072 -0.2340
  +2.322 +2.500  5  10 1321    1.0042  0.0076 -0.2873
  +2.500 +2.650  5  10 1108    0.9639  0.0300 -0.2203
  +2.650 +2.853  5  10  956    0.8925  0.1192  0.2632
  +2.853 +2.964  5  10  781    0.8730  0.1594  0.3932
  +2.964 +3.139  5  10  700    0.9287  0.1108  0.3972
  +3.139 +3.314  5  10  588    0.9706  0.0521  0.1102
  +3.314 +3.489  5  10  493    0.9745  0.0412  0.0538
  +3.489 +3.839  5  10  414    0.8829  0.1536  0.2378
  +3.839 +4.013  5  10  292    0.7939  0.2649  0.2607
  +4.013 +4.583  5  10  245    0.7458  0.2942  0.2213
  +4.583 +5.191  5  10  139    0.6839  0.5817  0.5000
