{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.8407  0.1930  0.4641
  -4.583 -4.013  5  10  245    0.9112 -0.0086  0.5000
  -4.013 -3.839  5  10  292    0.9407  0.0358  0.3199
  -3.839 -3.489  5  10  414    0.9783  0.0041  0.1659
  -3.489 -3.314  5  10  493    0.9934 -0.0023  0.0668
  -3.314 -3.139  5  10  588    0.9836  0.0164  0.1898
  -3.139 -2.964  5  10  700    1.0366 -0.0376 -0.4675
  -2.964 -2.853  5  10  781    1.0237 -0.0041 -0.5000
  -2.853 -2.650  5  10  956    1.0126  0.0126 -0.5000
  -2.650 -2.500  5  10 1108    1.0511 -0.0472 -0.5000
  -2.500 -2.322  5  10 1321    1.0240 -0.0258 -0.2190
  -2.322 -2.172  5  10 1529    1.0084 -0.0115 -0.0714
  -2.172 -1.930  5  10 1933    0.9990  0.0007  0.0180
  -1.930 -1.653  5  10 2511    0.9932  0.0091  0.0530
  -1.653 -1.479  5  10 2946    0.9997  0.0047 -0.0026
  -1.479 -1.305  5  10 3435    1.0017  0.0035 -0.0377
  -1.305 -1.044  5  10 4259    1.0050 -0.0029 -0.0414
  -1.044 -0.783  5  10 5141    0.9996  0.0017  0.0099
  -0.783 -0.522  5  10 5968    1.0002 -0.0003 -0.0010
  -0.522 -0.261  5  10 6574    0.9987  0.0005  0.0093
  -0.261 -0.000  5  10 6800    0.9997 -0.0006 -0.0052
  +0.000 +0.261  5  10 6800    0.9997 -0.0006 -0.0052
  +0.261 +0.522  5  10 6574    0.9987  0.0005  0.0093
  +0.522 +0.783  5  10 5968    1.0002 -0.0003 -0.0010
  +0.783 +1.044  5  10 5141    0.9996  0.0017  0.0099
  +1.044 +1.305  5  10 4259    1.0050 -0.0029 -0.0414
  +1.305 +1.479  5  10 3435    1.0017  0.0035 -0.0377
  +1.479 +1.653  5  10 2946    0.9997  0.0047 -0.0026
  +1.653 +1.930  5  10 2511    0.9932  0.0091  0.0530
  +1.930 +2.172  5  10 1933    0.9990  0.0007  0.0180
  +2.172 +2.322  5  10 1529    1.0084 -0.0115 -0.0714
  +2.322 +2.500  5  10 1321    1.0240 -0.0258 -0.2190
  +2.500 +2.650  5  10 1108    1.0511 -0.0472 -0.5000
  +2.650 +2.853  5  10  956    1.0126  0.0126 -0.5000
  +2.853 +2.964  5  10  781    1.0237 -0.0041 -0.5000
  +2.964 +3.139  5  10  700    1.0366 -0.0376 -0.4675
  +3.139 +3.314  5  10  588    0.9836  0.0164  0.1898
  +3.314 +3.489  5  10  493    0.9934 -0.0023  0.0668
  +3.489 +3.839  5  10  414    0.9783  0.0041  0.1659
  +3.839 +4.013  5  10  292    0.9407  0.0358  0.3199
  +4.013 +4.583  5  10  245    0.9112 -0.0086  0.5000
  +4.583 +5.191  5  10  139    0.8407  0.1930  0.4641
