{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.583  5  10  139    0.8981  0.1449  0.4394
  -4.583 -4.013  5  10  245    0.9657 -0.1363  0.1921
  -4.013 -3.839  5  10  292    0.9439  0.0021  0.3891
  -3.839 -3.489  5  10  414    0.9751  0.0029  0.1918
  -3.489 -3.314  5  10  493    0.9833  0.0137  0.1394
  -3.314 -3.139  5  10  588    0.9751  0.0298  0.2720
  -3.139 -2.964  5  10  700    1.0053  0.0089 -0.0960
  -2.964 -2.853  5  10  781    1.0233 -0.0015 -0.5000
  -2.853 -2.650  5  10  956    1.0128  0.0184 -0.5000
  -2.650 -2.500  5  10 1108    1.0538 -0.0504 -0.5000
  -2.500 -2.322  5  10 1321    1.0144 -0.0102 -0.1008
  -2.322 -2.172  5  10 1529    1.0029 -0.0020  0.0036
  -2.172 -1.930  5  10 1933    0.9987  0.0038  0.0134
  -1.930 -1.653  5  10 2511    1.0008  0.0015  0.0062
  -1.653 -1.479  5  10 2946    1.0021  0.0019 -0.0125
  -1.479 -1.305  5  10 3435    1.0010  0.0054 -0.0079
  -1.305 -1.044  5  10 4259    1.0051 -0.0020 -0.0165
  -1.044 -0.783  5  10 5141    0.9992  0.0012  0.0126
  -0.783 -0.522  5  10 5968    1.0017 -0.0032 -0.0197
  -0.522 -0.261  5  10 6574    0.9979  0.0018  0.0053
  -0.261 -0.000  5  10 6800    0.9987  0.0015  0.0077
  +0.000 +0.261  5  10 6800    0.9987  0.0015  0.0077
  +0.261 +0.522  5  10 6574    0.9979  0.0018  0.0053
  +0.522 +0.783  5  10 5968    1.0017 -0.0032 -0.0197
  +0.783 +1.044  5  10 5141    0.9992  0.0012  0.0126
  +1.044 +1.305  5  10 4259    1.0051 -0.0020 -0.0165
  +1.305 +1.479  5  10 3435    1.0010  0.0054 -0.0079
  +1.479 +1.653  5  10 2946    1.0021  0.0019 -0.0125
  +1.653 +1.930  5  10 2511    1.0008  0.0015  0.0062
  +1.930 +2.172  5  10 1933    0.9987  0.0038  0.0134
  +2.172 +2.322  5  10 1529    1.0029 -0.0020  0.0036
  +2.322 +2.500  5  10 1321    1.0144 -0.0102 -0.1008
  +2.500 +2.650  5  10 1108    1.0538 -0.0504 -0.5000
  +2.650 +2.853  5  10  956    1.0128  0.0184 -0.5000
  +2.853 +2.964  5  10  781    1.0233 -0.0015 -0.5000
  +2.964 +3.139  5  10  700    1.0053  0.0089 -0.0960
  +3.139 +3.314  5  10  588    0.9751  0.0298  0.2720
  +3.314 +3.489  5  10  493    0.9833  0.0137  0.1394
  +3.489 +3.839  5  10  414    0.9751  0.0029  0.1918
  +3.839 +4.013  5  10  292    0.9439  0.0021  0.3891
  +4.013 +4.583  5  10  245    0.9657 -0.1363  0.1921
  +4.583 +5.191  5  10  139    0.8981  0.1449  0.4394
